STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,PERF
0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,-1
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,255.93
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,249.17
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,246.33
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,254.97
0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,243
0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,247.02
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-1
0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,246.09
0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,254.97
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,-1
0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,254.39
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,-1
0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,254.35
0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,249.17
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,254.97
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,-1
0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,254.39
0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-1
0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,-1
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,-1
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,254.35
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,255.93
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,258.46
0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,248.71
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,-1
0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,246.33
0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,258.46
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,256.53
0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,255.15
0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,255.93
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,246.33
0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,258.46
0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-1
0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,254.21
0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,-1
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,-1
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,258.46
0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,-1
0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,-1
