mapreduce_task_io_sort_factor,mapreduce_reduce_shuffle_merge_percent,mapreduce_output_fileoutputformat_compress,mapreduce_reduce_merge_inmem_threshold,mapreduce_job_reduces,mapreduce_map_sort_spill_percent,mapreduce_reduce_shuffle_input_buffer_percent,mapreduce_task_io_sort_mb,mapreduce_map_output_compress,PERF
69,0.48135167776944165,true,499,754,0.8751763533046336,0.5200038617380336,211,false,1367.0
56,0.46733402485029785,true,607,225,0.8812639845768773,0.3197775762171031,190,false,1342.0
25,0.4581356035196895,false,241,644,0.5664234909483927,0.2044402529895819,143,true,1350.0
22,0.7108084542001306,true,465,520,0.6329724160845145,0.5716467387693389,121,false,1351.0
66,0.7130530727314109,false,803,551,0.5563820582253969,0.5852338774545474,223,false,1302.0
78,0.6731098870073613,true,448,79,0.6171633333196074,0.3489238557357458,134,false,1412.0
93,0.5024280073347667,true,426,863,0.7238063708702068,0.3687328006184982,103,false,1301.0
26,0.30365626718659555,true,190,856,0.8607391279541896,0.47569733454461194,230,true,1294.0
40,0.4940513305198321,true,159,243,0.8340439982518522,0.6630983921856091,223,true,1303.0
67,0.7946390769170552,true,903,619,0.6285455764126484,0.6422888305440317,185,false,1367.0
74,0.21966816771026648,true,464,419,0.5134120194387476,0.5978780252289108,146,false,1374.0
93,0.2567151049737478,true,455,491,0.6915563142611109,0.5371334791224629,178,true,1295.0
41,0.5766760322027562,true,798,989,0.7531822329638289,0.7412866836983278,102,true,1299.0
58,0.8758209636614699,true,483,988,0.8436024522687611,0.6621593613042001,114,true,1351.0
96,0.3061361315828599,true,511,942,0.7558255412360031,0.386575494340338,110,false,1365.0
83,0.7818582004738089,true,375,292,0.6487830201241814,0.5309110089830427,102,false,1297.0
26,0.657147642679174,true,278,519,0.8693209961175963,0.32924347224259065,116,true,1371.0
76,0.30232531344974845,true,190,609,0.7768235159467998,0.3272755404786579,128,false,1354.0
30,0.21754325441648525,true,806,121,0.784608851486817,0.46836691033951716,225,true,1372.0
51,0.5375222010398443,true,170,156,0.5701673789674291,0.5661676447636074,155,false,1344.0
93,0.7435185389383926,true,948,275,0.6286702006610166,0.6937255704912028,207,true,1351.0
91,0.3105903067802952,true,295,512,0.5026617504948212,0.15820633674193202,131,false,1352.0
14,0.28609890990789366,false,648,6,0.7001698891762455,0.3585593925948354,243,false,1355.0
12,0.6224600586686517,true,729,407,0.7071988885765903,0.21535683926614096,133,true,1352.0
61,0.4977518714387028,true,31,107,0.7862333882474648,0.6711966958986012,148,false,1298.0
64,0.6987028858630832,false,55,995,0.7004127264421803,0.5126826226926025,223,true,1351.0
44,0.5834857227543672,true,193,294,0.633560256178856,0.31653453298696665,182,false,1351.0
57,0.5519950531915807,true,572,164,0.855503060390228,0.1501269864860798,183,false,1259.0
38,0.8188965442675423,false,229,1000,0.7339811602513451,0.5392560651995149,205,false,1348.0
59,0.6824783510291657,false,753,451,0.6632293161419938,0.10485996017927564,186,true,1348.0
50,0.3148537429049584,true,784,106,0.8864254817490516,0.5646240222770663,156,false,1306.0
21,0.6553216691992538,true,523,541,0.5634089730203965,0.3398135922310822,221,false,1368.0
31,0.6287880664940738,true,188,822,0.8444981182259848,0.28610346614796733,170,true,1350.0
24,0.34499240429616407,true,742,437,0.8282835957831702,0.2130955879771168,138,true,1350.0
34,0.33604996322467223,true,984,138,0.7713372731415599,0.6742508194139211,204,false,1302.0
12,0.29731466727878364,true,71,324,0.7666490102808159,0.34221006352973204,184,false,1345.0
89,0.8125568004108801,true,692,554,0.724828752429002,0.3583000423731255,207,true,1300.0
82,0.7723536636657415,true,156,339,0.8694730326899271,0.4083705358366091,189,true,1348.0
30,0.26409490288314175,false,833,212,0.8989761591161527,0.32124319560369424,117,true,1302.0
92,0.27599508124602545,false,251,505,0.7111876833227536,0.732559270944184,195,false,1365.0
99,0.7683368058738833,true,121,467,0.7860262124056691,0.5811471735806383,114,false,1362.0
58,0.264122027377999,false,167,915,0.7394401975261744,0.30412510923781055,160,false,1321.0
48,0.5255186769522149,false,946,224,0.8605652972291935,0.32594126589917255,219,true,1255.0
89,0.7262014938735615,true,849,772,0.6379123715893344,0.6529624136855362,227,false,1348.0
65,0.6035731094233489,false,419,422,0.5098435350579388,0.7513845906359164,218,false,1270.0
28,0.5480859108827535,true,415,609,0.5514368072793076,0.7130276834702384,122,true,1315.0
84,0.5648969123746459,true,935,240,0.7794096699939237,0.5619778773055709,217,false,1346.0
16,0.21647177528581477,true,905,23,0.7798743997778628,0.6222651633075791,204,false,1348.0
24,0.2116231546309105,false,290,613,0.5252053613128347,0.6948769880658167,143,false,1347.0
83,0.8514422345409915,true,211,571,0.8674776160049733,0.39795490850544535,120,false,1352.0
84,0.7404676872519371,false,258,882,0.5590967081162942,0.29527875814394366,153,false,1343.0
96,0.6806834773417139,true,857,192,0.7546317350198314,0.4825046837702749,143,true,1350.0
35,0.4120291077327767,true,299,588,0.6361405178956213,0.4989158461098713,154,true,1349.0
59,0.7597486663672914,true,364,791,0.6858151852945724,0.6091043567983626,161,false,1353.0
63,0.42589398567919523,false,342,789,0.7434161752919035,0.7313762040825725,116,true,1350.0
82,0.5871848980919541,true,488,409,0.8859733306746691,0.7314892871081945,180,false,1207.0
45,0.259650062476278,true,251,469,0.8167277764632218,0.2762803243585714,212,false,1255.0
28,0.5825583569039248,true,558,478,0.7050488427007181,0.7322521073715473,182,true,1289.0
67,0.34326437648333147,false,916,245,0.6545685184143568,0.20064282587243487,207,false,1349.0
61,0.3043172642849376,true,883,199,0.5658688704898881,0.234816970066462,250,false,1299.0
20,0.5630916368719593,true,408,910,0.691666751030896,0.13770900324311933,173,true,1348.0
100,0.4941672270898716,true,381,521,0.6176265238154105,0.49417730826696116,241,false,1346.0
17,0.8893075904190378,false,655,457,0.8862716768746237,0.4816497006509374,161,false,1350.0
91,0.8051259312295265,true,309,736,0.7029904263552691,0.29461144166857134,195,false,1352.0
40,0.4335371680073474,false,917,449,0.7672798216485233,0.5020792760664742,115,true,1370.0
45,0.2501339623148932,false,865,422,0.67146930083823,0.21583796359694102,175,true,1349.0
25,0.26000888902109237,false,980,213,0.5372213409727117,0.6438501002221579,189,true,1345.0
15,0.8373670826380833,true,309,740,0.8494505065274652,0.168167618344555,159,true,1350.0
37,0.7345230546824089,false,591,35,0.6562334291737728,0.7462311905688103,199,true,1348.0
72,0.5220397998921829,false,13,553,0.7652226973137775,0.5752860884780318,159,false,1352.0
67,0.7066634011586572,true,631,688,0.5116735876158474,0.33521939658582756,116,false,1365.0
33,0.48576768859947306,false,131,599,0.8131552019373798,0.21978093468063087,130,false,1424.0
58,0.4123195863339101,true,656,863,0.5830371910700173,0.43512372211513506,181,false,1300.0
56,0.3037188115472631,false,318,598,0.8360156358595479,0.11477389722377598,149,true,1351.0
69,0.37714427254969335,false,462,501,0.6959420803371072,0.7743795862983727,244,true,1353.0
89,0.8100730617140747,true,902,569,0.6936301002870008,0.3893035300299579,168,false,1348.0
43,0.7797849324553091,true,70,705,0.5776370828662888,0.23768735711383787,116,true,1349.0
30,0.899872990717539,true,239,28,0.6089599012730558,0.2768583329043228,171,true,1366.0
25,0.8691096860142017,true,332,711,0.8761165646436176,0.4852943201644546,136,false,1349.0
26,0.31854523792939904,true,455,768,0.7315118284430291,0.4860094876800345,241,false,1318.0
87,0.40481942146361366,false,363,102,0.7135014183370579,0.4307571543760269,196,false,1258.0
45,0.4551161704769431,true,908,155,0.8897265292574692,0.4474023567040142,180,false,1304.0
31,0.47819344419456844,false,324,965,0.851226576616925,0.5352791667792016,148,true,1349.0
39,0.6726682286705279,true,630,355,0.6769683924747506,0.6267835950712686,248,false,1299.0
54,0.7600338542677132,true,925,845,0.8243336875953804,0.4861320345217701,154,false,1342.0
75,0.3856484871489189,true,327,761,0.7169367241828921,0.5533746690058883,195,false,1301.0
71,0.2395456315340827,true,934,306,0.6506892850580176,0.7684769001143285,148,false,1372.0
63,0.4353348458536712,true,185,950,0.698783894918048,0.10203861280893084,190,true,1349.0
47,0.46610417857747355,false,90,376,0.694977510815491,0.5592450645302058,251,true,1350.0
21,0.8457034382107325,true,52,663,0.5410994634497985,0.3316366719075222,126,true,1299.0
92,0.841863282917216,false,138,513,0.5619214471392737,0.5125253598913546,159,true,1370.0
40,0.5448017739172558,false,293,259,0.6059670656947016,0.7739144613548353,111,true,1303.0
41,0.3428470058853693,true,59,80,0.6181433515953797,0.4240799054111949,183,false,1354.0
82,0.5540525847408705,true,230,20,0.6908966814672632,0.3479072820371093,131,false,1349.0
92,0.805231357000881,false,623,662,0.653453237868578,0.21593215591408188,147,false,1349.0
52,0.6438388144099693,false,853,660,0.573173753909845,0.6665040821184846,138,false,1417.0
63,0.6044510327846928,false,407,579,0.873398823703619,0.27426417125871594,196,false,1368.0
49,0.5901353343265479,true,95,611,0.6231258471107828,0.177641020392519,167,true,1350.0
40,0.27121913990583457,false,800,171,0.5967748188653511,0.45517427960431445,101,false,1362.0
79,0.7927297920163119,false,307,145,0.5625470947726237,0.4016227468735474,201,true,1351.0
80,0.39656663468590014,false,727,703,0.6829593919107055,0.446030641153497,100,false,1301.0
65,0.8512365471393919,true,65,463,0.7320059926152492,0.3408310303905392,153,false,1350.0
20,0.8813690791979711,false,947,715,0.5775479047401156,0.5889180382900318,240,false,1300.0
50,0.47723568305563935,false,242,573,0.7280862106914682,0.19184031170962368,153,true,1297.0
24,0.43639431872092377,false,36,341,0.7555313562404682,0.4209441654610212,135,false,1349.0
52,0.5997505857701626,false,162,483,0.8064057778466687,0.2606128948426104,253,true,1423.0
60,0.44304367766263225,false,598,657,0.8907197437724877,0.5772105108847507,184,true,1325.0
73,0.3073595164148434,true,982,713,0.8465032592476047,0.14060631892479128,260,false,1371.0
33,0.29491494275336144,false,809,62,0.7679304980173769,0.6108080029296902,179,false,1354.0
21,0.2448021585168189,false,948,269,0.6739362908986148,0.2875388485942334,174,false,1350.0
66,0.5220716435516273,true,834,11,0.8376440362263029,0.2377929856236848,232,false,1352.0
29,0.8938022868670857,true,816,160,0.7718826662730572,0.17969601250451744,174,false,1371.0
46,0.8417646046650801,false,396,949,0.5019418300247548,0.7075233947388296,232,false,1396.0
100,0.35873869115749657,true,49,29,0.5844644240039539,0.3750231232815441,233,false,1303.0
79,0.7750476588405463,false,404,569,0.8528881826130313,0.30387751610640434,106,false,1351.0
31,0.8360090643519148,true,248,996,0.685211632810875,0.13931184947463524,199,false,1302.0
45,0.7618483226397623,false,938,298,0.8546750998289678,0.17860229128378186,160,true,1296.0
64,0.7693717098048075,false,772,507,0.6250009744040913,0.5307593476308601,232,true,1349.0
36,0.4607012474723944,false,913,372,0.7309104244168202,0.6580114656389285,212,false,1319.0
95,0.3036618066246194,true,533,588,0.6376159821669714,0.1539046092416853,217,false,1366.0
35,0.3293083466019653,false,55,738,0.6995132509432578,0.27663258098432253,100,true,1342.0
22,0.5337434321757225,true,678,413,0.5476850822025686,0.22661564585054075,202,false,1301.0
100,0.3637472573607796,false,225,545,0.5406662822618188,0.6559351742252263,250,false,1353.0
63,0.47018363850994616,true,628,159,0.7831309301386229,0.4348623157431376,173,true,1369.0
49,0.3526101093497742,true,949,832,0.6221813281701486,0.25716041294735775,239,true,1350.0
41,0.7900651275028245,true,349,477,0.7451154714386328,0.7677312366719335,187,true,1352.0
85,0.5210517635529093,true,100,784,0.5726252463773056,0.22153051438192123,208,true,1316.0
94,0.2999716252593058,true,467,610,0.7372150487530309,0.6045741059547779,174,true,1298.0
49,0.8709073023460036,true,114,304,0.7046219385745489,0.6798542737771479,195,true,1351.0
100,0.259126162500846,false,762,892,0.8116209320042052,0.19911500710045124,109,false,1351.0
27,0.2884358083296353,true,629,644,0.7770003392724955,0.5990664597536396,151,true,1301.0
55,0.3243046890066198,false,819,510,0.611647167942751,0.3060478603052095,142,true,1255.0
93,0.816680194677712,false,930,170,0.7684964549052167,0.3369545261651192,148,false,1267.0
68,0.4222283077155551,true,375,388,0.8722063391443171,0.34900536429636664,123,false,1298.0
35,0.26286725331456556,false,206,956,0.7452797453629285,0.35741861389020857,168,true,1350.0
84,0.7947625393925046,true,17,188,0.6302690329587577,0.5946136803026105,198,false,1345.0
33,0.773651823318381,false,168,230,0.7047562037195789,0.5714035508254297,100,true,1349.0
68,0.8622795630413336,true,43,623,0.695213367672029,0.6289137120833959,209,false,1352.0
53,0.8469592581399972,false,91,764,0.6677342954373653,0.27026826296813017,219,false,1348.0
90,0.37124014984043163,false,911,750,0.882379407101167,0.22180288866437498,116,true,1345.0
10,0.49502882746750154,true,755,916,0.7427461336504707,0.6376738612218465,183,true,1297.0
65,0.47451522136370927,true,117,127,0.7041350089828378,0.6931900822434518,111,false,1344.0
28,0.40227292989713326,false,263,841,0.6167539976079378,0.6258738194556921,230,false,1352.0
41,0.40599746758518307,false,740,330,0.6124855668268037,0.5630461746243993,226,true,1355.0
52,0.38853907093161155,true,522,717,0.5109023727846802,0.3278529448157055,110,false,1316.0
96,0.4557120076487133,false,732,541,0.7414547474440034,0.11724153204946543,214,false,1258.0
39,0.3952851051437298,false,63,653,0.6100357399872226,0.6597899978899882,237,false,1305.0
25,0.8308362997723101,true,549,160,0.6504687734812331,0.10699455465718692,132,true,1301.0
63,0.44229871240667396,false,976,597,0.5216494367739695,0.7716639433218816,147,false,1373.0
22,0.3534458318490359,true,56,981,0.8621866663775436,0.5139772810598549,142,true,1347.0
21,0.8571544800335587,false,862,533,0.5702332225854511,0.7621030373388804,255,false,1314.0
94,0.5524582381026678,true,933,25,0.6697023845424925,0.3789746344297481,213,false,1304.0
10,0.7203945488746739,false,980,548,0.5715956305245488,0.20189856699219716,228,true,1349.0
33,0.6210752143553703,false,28,661,0.5542307019007422,0.16925178154495563,129,true,1351.0
30,0.8010398663163123,false,226,187,0.5214074416644733,0.17273213604124046,241,false,1351.0
13,0.601996431179442,true,409,51,0.6169550255429715,0.12458696297726762,162,true,1352.0
38,0.5198747556093303,true,249,837,0.6464369206551127,0.4964148041427908,169,false,1363.0
91,0.8189530186402763,true,974,708,0.8793693724912786,0.7334521685037664,209,true,1297.0
70,0.7749458128186555,true,272,40,0.888621855287464,0.18603058583389975,175,false,1350.0
41,0.23254563283032273,true,785,92,0.7563432755693315,0.21473755323295418,112,false,1303.0
86,0.39634781965751714,true,321,328,0.7868022342673131,0.6726833272174324,242,true,1352.0
17,0.8262264168098696,false,102,719,0.7075418998625064,0.7315971113835403,243,true,1371.0
100,0.3695908672411162,false,820,442,0.7626861670509799,0.22582008102398402,217,true,1352.0
84,0.4233715912929171,false,139,679,0.7250888361941319,0.2831365955969604,207,true,1350.0
91,0.4254289105927678,true,383,504,0.8224797256418677,0.29459806409361466,114,false,1344.0
58,0.5736084588933101,false,259,649,0.8843913309562327,0.7068983010617833,224,true,1314.0
19,0.7027892053730999,true,568,927,0.8083578102693347,0.10668454501601526,140,false,1351.0
82,0.4355767427390256,true,367,579,0.7983408850360182,0.6958914803246287,233,true,1369.0
14,0.6717052284360021,true,58,836,0.7698803420785632,0.6685229076842012,215,false,1350.0
54,0.8506946244491274,false,910,46,0.8657493541249647,0.12983325160525772,204,false,1369.0
45,0.4481992983967702,true,270,825,0.8899774780623984,0.13262469985164332,257,false,1352.0
27,0.2943752872725656,true,982,941,0.7665695195180373,0.3307755964571427,194,false,1351.0
62,0.2877537794257034,true,955,485,0.8958975030041889,0.14746384206096158,107,false,1368.0
97,0.42258635383572724,true,592,960,0.6484282813282016,0.7514379157021999,250,true,1351.0
14,0.6265174144462876,true,737,971,0.7485065283593403,0.24332241655387057,170,true,1302.0
42,0.4281517315964146,true,226,154,0.520772546006754,0.15754915597842378,249,true,1348.0
31,0.4044910602025128,false,716,391,0.5001603401637953,0.12231926562835782,178,false,1357.0
15,0.7750127435537858,false,40,329,0.8531588065786125,0.623739954621415,138,true,1353.0
57,0.6711629834534273,true,745,877,0.6441025762734274,0.5620757681611261,132,true,1368.0
90,0.40091188310852466,true,162,650,0.6980451735737275,0.750894820363593,206,true,1347.0
77,0.6805363217714874,false,14,446,0.6420071684417737,0.7569107459410369,122,true,1370.0
28,0.3421898694594549,false,200,265,0.8415177590913798,0.22447260387219903,239,true,1364.0
60,0.4083185485514381,true,704,792,0.5387301806368027,0.7915200815821807,206,true,1349.0
88,0.3527215621749885,true,315,226,0.6695353246660409,0.34041613872654475,193,false,1306.0
